time	V(n001)
Step Information: Bias=200m  (Run: 1/4)
3.247211532884562e-002	4.953578e+000
3.252211532884562e-002	4.956286e+000
3.261046998615585e-002	4.978332e+000
3.270302680611825e-002	4.991968e+000
3.278639344932935e-002	4.992662e+000
3.288639344932935e-002	4.991281e+000
3.298639344932935e-002	4.990137e+000
3.308639344932936e-002	4.989105e+000
3.338639344932937e-002	4.986123e+000
3.358639344932937e-002	4.983716e+000
3.368639344932937e-002	4.981974e+000
3.378639344932938e-002	4.976178e+000
3.388639344932938e-002	4.962185e+000
3.389599951091835e-002	4.958999e+000
3.391521163409630e-002	4.945166e+000
3.394837589820819e-002	4.898448e+000
3.398346126710818e-002	4.813924e+000
3.402341984365441e-002	4.683314e+000
3.406461174697544e-002	4.527580e+000
3.411666140598910e-002	4.304892e+000
3.416202695546444e-002	4.086106e+000
3.420576775329444e-002	3.865551e+000
3.426756427984268e-002	3.576343e+000
3.432470216595802e-002	3.358225e+000
3.440071683303919e-002	3.123837e+000
3.450071683303919e-002	2.839837e+000
3.460071683303920e-002	2.563039e+000
3.470071683303920e-002	2.291920e+000
3.480071683303920e-002	2.026380e+000
3.490071683303921e-002	1.766594e+000
3.500071683303921e-002	1.512173e+000
3.510071683303921e-002	1.254500e+000
3.520071683303921e-002	9.807388e-001
3.521321683303921e-002	9.407121e-001
3.524446683303921e-002	8.272294e-001
3.528196683303921e-002	6.883339e-001
3.533196683303921e-002	5.182374e-001
3.542182331086048e-002	2.439852e-001
3.543349494067720e-002	2.113035e-001
3.545683820031063e-002	1.528487e-001
3.549411216393476e-002	8.347484e-002
3.553248430948010e-002	5.018310e-002
3.558748611623131e-002	3.928488e-002
3.563709339314897e-002	3.797685e-002
3.573630794698428e-002	3.790721e-002
3.583630794698428e-002	3.753544e-002
3.593630794698428e-002	3.670981e-002
3.623630794698429e-002	3.333744e-002
3.643630794698430e-002	3.119457e-002
3.653630794698430e-002	3.063613e-002
3.663630794698430e-002	3.207926e-002
3.673630794698431e-002	3.646306e-002
3.674627953785482e-002	3.645301e-002
3.676622271959584e-002	3.251895e-002
3.680610908307787e-002	1.783920e-002
3.684657199705087e-002	9.176685e-003
3.689267800361534e-002	1.639237e-002
3.694392147382966e-002	2.765137e-002
3.699112884152860e-002	2.417697e-002
3.703596658729690e-002	1.665876e-002
3.709261948566528e-002	1.722666e-002
3.714534608099873e-002	2.575705e-002
3.721811049049114e-002	4.013319e-002
3.731811049049114e-002	5.593951e-002
3.741811049049115e-002	6.940226e-002
3.751811049049115e-002	8.397307e-002
3.761811049049115e-002	1.017754e-001
3.771811049049115e-002	1.243599e-001
3.781811049049116e-002	1.531888e-001
3.791811049049116e-002	1.928434e-001
3.801811049049116e-002	2.595063e-001
3.811811049049117e-002	3.635263e-001
3.813061049049116e-002	3.822135e-001
3.815561049049116e-002	4.290465e-001
3.820561049049116e-002	5.597972e-001
3.829194728712509e-002	8.724174e-001
3.837814070683367e-002	1.195787e+000
3.845783482161388e-002	1.452914e+000
3.855783482161388e-002	1.741055e+000
3.865257093234137e-002	2.004990e+000
3.875257093234137e-002	2.277010e+000
3.885257093234137e-002	2.543805e+000
3.915257093234138e-002	3.313987e+000
3.925257093234139e-002	3.561274e+000
3.935257093234139e-002	3.804867e+000
3.945257093234139e-002	4.053308e+000
3.955257093234139e-002	4.319242e+000
3.965257093234140e-002	4.592335e+000
3.975257093234140e-002	4.824050e+000
3.985257093234140e-002	4.983759e+000
3.986432836050009e-002	4.992241e+000
3.988784321681746e-002	4.995418e+000
3.993487292945220e-002	4.996286e+000
4.001454914121008e-002	4.991662e+000
4.008942554295659e-002	4.987616e+000
4.018942554295660e-002	4.985673e+000
4.028942554295660e-002	4.985434e+000
4.038942554295660e-002	4.985758e+000
4.048942554295661e-002	4.986313e+000
4.058942554295661e-002	4.986920e+000
4.068942554295661e-002	4.987337e+000
4.078942554295661e-002	4.986562e+000
4.088942554295662e-002	4.979319e+000
4.098942554295662e-002	4.961404e+000
4.100192554295662e-002	4.958143e+000
4.102692554295662e-002	4.953094e+000
4.107692554295662e-002	4.956280e+000
4.117692554295662e-002	4.980533e+000
4.126771290308082e-002	4.992828e+000
4.135212048361179e-002	4.992933e+000
4.145212048361179e-002	4.991130e+000
4.155212048361179e-002	4.989974e+000
4.165212048361180e-002	4.988976e+000
4.195212048361181e-002	4.985949e+000
4.215212048361181e-002	4.983488e+000
4.225212048361181e-002	4.981572e+000
4.235212048361182e-002	4.974998e+000
4.245212048361182e-002	4.958615e+000
4.246462048361182e-002	4.952383e+000
4.248962048361182e-002	4.920816e+000
4.253962048361182e-002	4.807179e+000
4.258624462686238e-002	4.656621e+000
4.264118943538098e-002	4.442201e+000
4.269026334973123e-002	4.221694e+000
4.274740174397589e-002	3.938079e+000
4.280003146458510e-002	3.685914e+000
4.286125933850949e-002	3.440408e+000
4.294352567009612e-002	3.173329e+000
4.304352567009612e-002	2.884416e+000
4.314352567009613e-002	2.606683e+000
4.324352567009613e-002	2.334669e+000
4.334352567009613e-002	2.068242e+000
4.344352567009614e-002	1.807535e+000
4.354352567009614e-002	1.552349e+000
4.364352567009614e-002	1.298520e+000
4.374352567009614e-002	1.026203e+000
4.384352567009615e-002	7.191283e-001
4.385602567009615e-002	6.760810e-001
4.388102567009614e-002	5.869836e-001
4.393102567009614e-002	4.235693e-001
4.401596751212911e-002	2.019316e-001
4.409935491421769e-002	7.506390e-002
4.417786277987453e-002	3.857465e-002
4.427786277987453e-002	3.706155e-002
4.437072371049742e-002	3.786011e-002
4.447072371049742e-002	3.721995e-002
4.457072371049742e-002	3.629360e-002
4.487072371049743e-002	3.282008e-002
4.507072371049744e-002	3.082558e-002
4.517072371049744e-002	3.139151e-002
4.527072371049744e-002	3.077783e-002
4.537072371049745e-002	2.395241e-002
4.547072371049745e-002	1.794245e-002
4.557072371049745e-002	1.735985e-002
4.566281898611768e-002	1.926809e-002
4.575110696955108e-002	2.992322e-002
4.585110696955108e-002	4.818798e-002
4.595110696955108e-002	6.221174e-002
4.605110696955109e-002	7.538001e-002
4.615110696955109e-002	9.110759e-002
4.625110696955109e-002	1.106164e-001
4.635110696955110e-002	1.356064e-001
4.645110696955110e-002	1.676445e-001
4.655110696955110e-002	2.180245e-001
4.665110696955110e-002	2.984482e-001
4.666360696955110e-002	3.145534e-001
4.670735696955110e-002	3.867982e-001
4.673235696955110e-002	4.324951e-001
4.678235696955110e-002	5.595170e-001
4.686483212534406e-002	8.558105e-001
4.687484515240942e-002	9.028266e-001
4.689487120654015e-002	1.003119e+000
4.692814255927292e-002	1.143084e+000
4.696211591620614e-002	1.260043e+000
4.701169375106356e-002	1.410743e+000
4.705888137920790e-002	1.547811e+000
4.714965695084086e-002	1.804243e+000
4.724965695084086e-002	2.080681e+000
4.734965695084086e-002	2.351301e+000
4.764965695084087e-002	3.132250e+000
4.784965695084088e-002	3.628911e+000
4.794965695084088e-002	3.872001e+000
4.804965695084088e-002	4.122943e+000
4.816215695084088e-002	4.431812e+000
4.818715695084088e-002	4.507328e+000
4.823715695084088e-002	4.642721e+000
4.829157613918641e-002	4.777899e+000
4.835488129161866e-002	4.909685e+000
4.841393146118607e-002	4.978189e+000
4.847608347894208e-002	4.996681e+000
4.853922915063336e-002	4.995891e+000
4.861041490408337e-002	4.991089e+000
4.869875798682245e-002	4.986775e+000
4.879875798682246e-002	4.985489e+000
4.889875798682246e-002	4.985537e+000
4.899875798682246e-002	4.986000e+000
4.909875798682246e-002	4.986582e+000
4.919875798682247e-002	4.987159e+000
4.929875798682247e-002	4.987307e+000
4.939875798682247e-002	4.984682e+000
4.949875798682248e-002	4.976615e+000
4.951125798682247e-002	4.974171e+000
4.955500798682247e-002	4.960480e+000
4.958000798682247e-002	4.954312e+000
4.963000798682247e-002	4.955432e+000
4.971481015816019e-002	4.982700e+000
4.972453889386830e-002	4.986558e+000
4.974399636528454e-002	4.991135e+000
4.977454230004392e-002	4.992687e+000
4.980533710515094e-002	4.992904e+000
4.985785035436210e-002	4.993060e+000
4.990938570915331e-002	4.992455e+000
5.000938570915332e-002	4.991077e+000
5.010938570915332e-002	4.989965e+000
5.020938570915332e-002	4.988973e+000
5.050938570915333e-002	4.985935e+000
5.070938570915334e-002	4.983469e+000
5.080938570915334e-002	4.981541e+000
5.090938570915334e-002	4.974860e+000
5.100938570915335e-002	4.958158e+000
5.102188570915334e-002	4.951777e+000
5.104688570915334e-002	4.919608e+000
5.109688570915334e-002	4.803186e+000
5.115246181340918e-002	4.619522e+000
5.121156419198777e-002	4.381238e+000
5.126678075051318e-002	4.124901e+000
5.133029942246553e-002	3.814468e+000
5.140064677498155e-002	3.505404e+000
5.147723819478180e-002	3.235239e+000
5.157723819478180e-002	2.939818e+000
5.177723819478181e-002	2.387778e+000
5.187723819478181e-002	2.120272e+000
5.197723819478181e-002	1.858414e+000
5.207723819478181e-002	1.602228e+000
5.217723819478182e-002	1.349607e+000
5.227723819478182e-002	1.085829e+000
5.237723819478182e-002	7.945977e-001
5.238973819478182e-002	7.524293e-001
5.241473819478182e-002	6.615152e-001
5.246473819478182e-002	4.923723e-001
5.254890100121317e-002	2.363873e-001
5.255906523712159e-002	2.080874e-001
5.257939370893843e-002	1.568154e-001
5.262005065257212e-002	7.968167e-002
5.266402652314094e-002	4.287846e-002
5.272204931551749e-002	3.577468e-002
5.277507594474085e-002	3.672031e-002
5.287204815287934e-002	3.764514e-002
5.297204815287934e-002	3.749067e-002
5.307204815287935e-002	3.665693e-002
5.337204815287935e-002	3.327909e-002
