time	V(vin)
0.000000000000000e+000	0.000000e+000
9.999999824516700e-015	5.000000e-002
1.685921870392975e-014	8.429609e-002
3.057765646275585e-014	1.528883e-001
5.191314399808812e-014	2.595657e-001
7.229948971552969e-014	3.614975e-001
9.965502908948692e-014	4.982751e-001
1.352615166015953e-013	6.763076e-001
1.963969514625399e-013	9.819847e-001
2.310828745540578e-013	1.155414e+000
2.613469450818055e-013	1.306735e+000
2.957074191515778e-013	1.478537e+000
3.263629383704649e-013	1.631815e+000
3.854807280378771e-013	1.927404e+000
4.277077206574572e-013	2.138539e+000
4.445985177052893e-013	2.222993e+000
5.037163073727014e-013	2.518582e+000
5.507692420059478e-013	2.753846e+000
5.978221766391942e-013	2.989111e+000
6.448751112724405e-013	3.224376e+000
6.919280459056869e-013	3.459640e+000
7.389809805389334e-013	3.694905e+000
7.860339151721798e-013	3.930170e+000
8.330868498054261e-013	4.165434e+000
9.130687832471599e-013	4.565344e+000
9.379062737479713e-013	4.689531e+000
1.000000000000000e-012	5.000000e+000
1.001436122025372e-012	5.000000e+000
1.004308366076116e-012	5.000000e+000
1.010052854177603e-012	5.000000e+000
1.021541830380578e-012	5.000000e+000
1.036070558159283e-012	5.000000e+000
1.061647168374290e-012	5.000000e+000
1.095142332142294e-012	5.000000e+000
1.154225959767602e-012	5.000000e+000
1.233807678195531e-012	5.000000e+000
1.370065768053224e-012	5.000000e+000
1.557337287421568e-012	5.000000e+000
1.872978925210541e-012	5.000000e+000
2.315445669820737e-012	5.000000e+000
3.050409990525466e-012	5.000000e+000
4.090065751569144e-012	5.000000e+000
5.777159099632357e-012	5.000000e+000
8.183424279876420e-012	5.000000e+000
1.203853962097703e-011	5.000000e+000
1.757381850729827e-011	5.000000e+000
2.631686062877241e-011	5.000000e+000
3.891316102783862e-011	5.000000e+000
5.855594516367677e-011	5.000000e+000
8.687638047285800e-011	5.000000e+000
1.304168869574858e-010	5.000000e+000
1.929652155092753e-010	5.000000e+000
2.874449801967992e-010	5.000000e+000
4.214723614059738e-010	5.000000e+000
6.546728061419346e-010	5.000000e+000
1.029067408850680e-009	5.000000e+000
1.656342090548041e-009	5.000000e+000
2.635916045242073e-009	5.000000e+000
3.842874315796191e-009	5.000000e+000
5.279136823944557e-009	5.000000e+000
7.155264474771096e-009	5.000000e+000
1.006867367015367e-008	5.000000e+000
1.563889246181356e-008	5.000000e+000
2.677933004513335e-008	5.000000e+000
4.906020521177292e-008	5.000000e+000
9.362195554505208e-008	5.000000e+000
6.734100396021507e-007	5.000000e+000
